"GEOID","Year","Median AQI","rate_notgood_aqi"
"48037",2018,47,0.00336700336700337
"48039",2018,31,0.0136986301369863
"48043",2018,40,0
"22023",2018,51,0
"48085",2018,37,0.0443213296398892
"48109",2018,31,0
"01047",2018,52,0.0520547945205479
"48121",2018,42,0.0383561643835616
"48135",2018,40,0
"08041",2018,59,0.0465753424657534
"20051",2018,45,0.0219178082191781
"01057",2018,34,0
"48167",2018,34,0.0274725274725275
"48183",2018,32,0
"13145",2018,56,0.073972602739726
"18061",2018,41,0.00274725274725275
"35023",2018,51,0.0110192837465565
"48221",2018,33,0.0138121546961326
"48231",2018,32,0.010958904109589
"01073",2018,53,0.0219178082191781
"05071",2018,35,0.0225988700564972
"48257",2018,41,0.00273972602739726
"48273",2018,47,0.0116959064327485
"48303",2018,33,0.0033003300330033
"48323",2018,37,0
"48309",2018,38,0
"01101",2018,44,0.0301369863013699
"48349",2018,41,0.010989010989011
"48355",2018,44,0
"06059",2018,52,0.0164383561643836
"48367",2018,35,0.0167130919220056
"05113",2018,31,0
"42105",2018,30,0.0028328611898017
"48381",2018,43,0.0248618784530387
"48397",2018,31,0.0164473684210526
"20183",2018,33,0.0054945054945055
"48439",2018,53,0.0520547945205479
"48453",2018,52,0.0246575342465753
"48469",2018,28,0.00716845878136201
"48479",2018,44,0.00638977635782748
"49003",2018,48,0.0246575342465753
"49005",2018,48,0.0191780821917808
"30009",2018,46,0.0137362637362637
"19051",2018,49,0.0356164383561644
"49013",2018,47,0.0301369863013699
"08045",2018,44,0.00547945205479452
"26071",2018,44,0
"49035",2018,61,0.112328767123288
"08111",2018,44,0.0196629213483146
"49045",2018,47,0.0273972602739726
"49047",2018,51,0.0301369863013699
"49049",2018,50,0.0876712328767123
"01129",2018,44,0.00273972602739726
"13305",2018,13,0
"49057",2018,51,0.0465753424657534
"50003",2018,37,0.00273972602739726
"50007",2018,40,0
"50021",2018,39,0
"09015",2018,12,0
"78",2018,29,0
"78",2018,32,0
"78",2018,36,0.00546448087431694
"51003",2018,40,0
"51",2018,6,0
"51013",2018,36,0.00821917808219178
"51",2018,36,0
"24011",2018,36,0
"05015",2018,9,0
